"7"	"1"	"11"	"1"	"credit2"	"在状态[客户经理初审]"	"111"	"1"	"2019-7-24 15:44:07"
"8"	"69"	"15"	"3"	"credit2"	"在状态[客户经理初审]"	"评论1111"	"52"	"2019-7-29 15:27:11"
"9"	"69"	"15"	"3"	"credit3"	"在状态[商务经理资信评估]"	"撒旦撒旦"	"52"	"2019-7-29 15:28:21"
"10"	"69"	"15"	"3"	"credit4"	"在状态[项目风险评估]"	"万恶按非法"	"52"	"2019-7-29 15:29:09"
"11"	"69"	"15"	"3"	"credit7"	"在状态[客户经理审核]"	"入电饭锅电饭锅"	"52"	"2019-7-29 15:33:35"
"12"	"69"	"15"	"3"	"credit9"	"在状态[待补充资料]"	"是的撒"	"52"	"2019-7-29 15:34:55"
"13"	"69"	"15"	"3"	"credit8"	"在状态[风控经理审核]"	"是的撒"	"52"	"2019-7-29 15:39:28"
"14"	"69"	"15"	"3"	"credit8"	"在状态[风控经理审核]"	"胜多负少"	"52"	"2019-7-29 15:39:58"
"15"	"69"	"15"	"3"	"credit9"	"在状态[待补充资料]"	"111"	"52"	"2019-7-29 15:41:39"
"16"	"69"	"15"	"3"	"credit8"	"在状态[风控经理审核]"	"11"	"52"	"2019-7-29 15:53:24"
"17"	"69"	"15"	"3"	"credit9"	"在状态[待补充资料]"	"1"	"52"	"2019-7-29 15:53:40"
"18"	"69"	"15"	"3"	"credit8"	"在状态[风控经理审核]"	"1"	"52"	"2019-7-29 15:53:51"
"19"	"69"	"15"	"3"	"credit9"	"在状态[待补充资料]"	"其味无穷"	"53"	"2019-7-29 15:54:13"
"20"	"69"	"15"	"3"	"credit8"	"在状态[风控经理审核]"	"五千多无群"	"52"	"2019-7-29 15:56:00"
"21"	"69"	"15"	"3"	"credit10"	"在状态[财务经理审核]"	"让我发的"	"52"	"2019-7-29 15:56:37"
"22"	"69"	"15"	"3"	"credit11"	"在状态[风控总经理审批]"	"未到人数"	"52"	"2019-7-29 15:56:57"
"23"	"69"	"16"	"3"	"credit2"	"在状态[客户经理初审]"	"1"	"52"	"2019-7-29 16:10:11"
"24"	"69"	"16"	"3"	"credit3"	"在状态[商务经理资信评估]"	"千瓦时"	"52"	"2019-7-29 16:10:35"
"25"	"69"	"16"	"3"	"credit5"	"在状态[确定初步方案]"	"1"	"52"	"2019-7-29 16:11:23"
"26"	"69"	"16"	"3"	"credit6"	"在状态[准备资料]"	"11"	"52"	"2019-7-29 16:12:35"
