"1"	"6"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-7-25 21:14:14"	"1"	"2019-7-25 21:14:14"
"2"	"14"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-7-27 16:03:30"	"1"	"2019-7-27 16:03:30"
"3"	"29"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-7-27 20:02:40"	"1"	"2019-7-27 20:02:40"
"4"	"33"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-7-29 18:57:18"	"1"	"2019-7-29 18:57:18"
"5"	"41"	"130210001199520190621000104301"	"2019-11-1"	"1000.00"	"玉洁企业2"	"8110701013101237129"	"玉洁企业1"	"8110701013201237125"	"2019-7-30 16:51:06"	"1"	"2019-7-30 16:51:06"
"6"	"42"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-7-30 18:06:40"	"1"	"2019-7-30 18:06:40"
"7"	"61"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-7-31 17:45:27"	"1"	"2019-7-31 17:45:27"
"8"	"61"	"130210001199520190621000104301"	"2019-11-1"	"1000.00"	"玉洁企业2"	"8110701013101237129"	"玉洁企业1"	"8110701013201237125"	"2019-7-31 17:47:08"	"1"	"2019-7-31 17:47:08"
"9"	"87"	"130210001199520190621000104301"	"2019-11-1"	"1000.00"	"玉洁企业2"	"8110701013101237129"	"玉洁企业1"	"8110701013201237125"	"2019-8-1 19:24:10"	"1"	"2019-8-1 19:24:10"
"10"	"113"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-8-8 16:52:02"	"1"	"2019-8-8 16:52:02"
"11"	"121"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-8-21 16:34:26"	"1"	"2019-8-21 16:34:26"
"12"	"125"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-8-22 10:49:24"	"1"	"2019-8-22 10:49:24"
"13"	"126"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-8-22 14:53:11"	"1"	"2019-8-22 14:53:11"
"14"	"146"	"110358503501920180730231095595"	"2019-1-30"	"1071000.00"	"湖北牟平新伟石化股份公"	"15000090546858"	"辽宁阳洋泰富绿色食品开"	"15000090546858"	"2019-9-27 11:58:38"	"1"	"2019-9-27 11:58:38"
