"1"	"1"	"1"	"个人信息"	"1"	"2019-6-12 08:00:00"	"1"	"2019-6-12 08:00:00"	"1"	"1"	""
"2"	"1"	"1"	"项目授信额度申请"	"2"	"2019-6-13 14:51:13"	"1"	"2019-6-13 14:50:07"	"1"	"1"	""
"3"	"1"	"1"	"申请人与工程公司关系"	"3"	"2019-6-13 14:51:14"	"1"	"2019-6-13 14:50:07"	"1"	"1"	""
"4"	"1"	"1"	"情况说明"	"4"	"2019-6-13 14:51:15"	"1"	"2019-6-13 14:50:07"	"1"	"1"	""
"5"	"1"	"1"	"上传资料"	"5"	"2019-6-22 17:54:33"	"1"	"2019-6-13 14:50:07"	"1"	"0"	""
"12"	"1"	"1"	"客户经理初审"	"6"	"2019-6-23 01:48:19"	"1"	"2019-6-23 01:48:23"	"1"	"1"	""
"13"	"1"	"1"	"商务经理资信评估"	"7"	"2019-6-22 17:48:36"	"1"	"2019-6-23 01:48:40"	"1"	"1"	""
"14"	"1"	"1"	"项目风险评估"	"8"	"2019-6-23 01:48:55"	"1"	"2019-6-23 01:48:57"	"1"	"1"	""
"15"	"1"	"1"	"初步方案"	"9"	"2019-6-23 01:50:34"	"1"	"2019-6-23 01:50:46"	"1"	"1"	""
"16"	"1"	"1"	"准备资料"	"10"	"2019-6-23 01:51:32"	"1"	"2019-6-23 01:51:36"	"1"	"1"	""
"17"	"1"	"1"	"客户经理审核"	"11"	"2019-6-23 01:53:02"	"1"	"2019-6-23 01:53:05"	"1"	"1"	""
"18"	"1"	"1"	"风控经理审核"	"12"	"2019-6-23 01:53:18"	"1"	"2019-6-23 01:53:20"	"1"	"1"	""
"19"	"1"	"1"	"补充资料"	"13"	"2019-6-23 01:53:35"	"1"	"2019-6-23 01:53:38"	"1"	"1"	""
"20"	"1"	"1"	"财务经理审核"	"14"	"2019-6-23 01:53:53"	"1"	"2019-6-23 01:53:55"	"1"	"1"	""
"21"	"1"	"1"	"风控总经理审批"	"15"	"2019-6-23 01:54:09"	"1"	"2019-6-23 01:54:11"	"1"	"1"	""
"22"	"1"	"2"	"业务申请"	"1"	"2019-6-26 19:17:40"	"1"	"2019-6-26 19:11:44"	"1"	"1"	""
