"1"	"69"	"2"	"100.00"	"159"	"大飒飒"	"1"	""	""	"2019-7-29 08:53:17"	"52"
"2"	"69"	"9"	"200.00"	"160"	"as"	"1"	""	""	"2019-7-29 08:54:36"	"52"
"3"	"66"	"14"	"1000000.00"	"412"	"同意"	"1"	""	""	"2019-7-31 03:54:57"	"48"
"4"	"65"	"18"	"500000.00"	"1012"	"经审核，属真是交易背景，准许开商票"	"1"	""	""	"2019-7-31 10:23:44"	"46"
"5"	"85"	"19"	"3011.00"	"885"	"胜多负少的"	"1"	""	""	"2019-7-31 13:09:07"	"69"
"6"	"90"	"27"	"100.00"	"1644"	"1111"	"1"	""	""	"2019-8-1 13:24:56"	"94"
"7"	"90"	"28"	"1.00"	"1645"	"SaaS"	"1"	""	""	"2019-8-1 13:30:52"	"94"
"8"	"92"	"34"	"300000.00"	"1898"	"符合交易真实性基本条件，同意开票"	"1"	""	""	"2019-8-2 03:15:19"	"90"
"9"	"1"	"35"	"11.00"	"82"	"11111"	"1"	""	""	"2019-8-7 02:01:59"	"1"
"10"	"1"	"39"	"800000.00"	"81"	"通过"	"1"	""	""	"2019-8-8 09:46:47"	"1"
"11"	"85"	"20"	"50000.00"	"885"	"0111"	"1"	""	""	"2019-8-8 10:09:40"	"69"
"12"	"113"	"60"	"1.00"	"3739"	"1"	"1"	""	""	"2019-8-14 10:38:08"	"153"
"13"	"124"	"62"	"10000.00"	"4632"	"审核分析/审核分析/审核分析、审核分析、审核分析"	"1"	""	""	"2019-8-20 06:56:42"	"183"
"14"	"124"	"63"	"10.00"	"4633"	"ewdwad"	"1"	""	""	"2019-8-21 08:44:58"	"183"
"15"	"130"	"69"	"100.00"	"5268"	"萨达"	"1"	""	""	"2019-8-23 03:57:02"	"196"
"16"	"130"	"70"	"200.00"	"5269"	"1"	"1"	""	""	"2019-8-23 04:29:32"	"196"
"17"	"130"	"73"	"10.00"	"5268"	"1"	"1"	""	""	"2019-8-23 08:15:16"	"196"
"18"	"130"	"83"	"10000.00"	"5268"	"111"	"1"	""	""	"2019-8-23 09:21:10"	"196"
"19"	"130"	"88"	"109999.00"	"5267"	"11"	"1"	""	""	"2019-8-23 09:38:02"	"196"
"20"	"130"	"89"	"1109997.00"	"5267"	"11"	"1"	""	""	"2019-8-23 09:41:49"	"196"
"21"	"130"	"77"	"100000.00"	"5268"	"11"	"1"	""	""	"2019-8-27 02:13:51"	"1"
"22"	"130"	"71"	"20000.00"	"5269"	"1"	"1"	""	""	"2019-8-27 02:17:05"	"1"
"23"	"132"	"95"	"2.00"	"5521"	"1"	"1"	""	""	"2019-8-30 06:02:52"	"206"
"24"	"133"	"96"	"20.00"	"5648"	"1"	"1"	""	""	"2019-8-30 07:35:13"	"203"
"25"	"133"	"98"	"19980.00"	"5649"	"1"	"1"	""	""	"2019-8-30 07:46:28"	"203"
"26"	"133"	"99"	"1.00"	"5648"	"1"	"1"	""	""	"2019-8-30 07:47:44"	"203"
"27"	"133"	"103"	"10.00"	"5649"	"00111"	"1"	""	""	"2019-9-2 01:17:02"	"203"
"28"	"118"	"108"	"20000.00"	"4379"	"飒飒大大"	"1"	""	""	"2019-9-3 04:07:09"	"173"
"29"	"118"	"109"	"1000.00"	"4379"	"111"	"1"	""	""	"2019-9-3 04:10:27"	"173"
"30"	"118"	"113"	"2.00"	"4378"	"2"	"1"	""	""	"2019-9-3 08:00:51"	"176"
"31"	"85"	"21"	"10.00"	"885"	"1"	"1"	""	""	"2019-9-3 08:20:10"	"69"
"32"	"118"	"115"	"3.00"	"4378"	"22222"	"1"	""	""	"2019-9-3 09:11:31"	"176"
"33"	"118"	"116"	"5.00"	"4378"	"111"	"1"	""	""	"2019-9-3 09:29:59"	"175"
"34"	"118"	"117"	"30.00"	"4378"	"11"	"1"	""	""	"2019-9-3 09:44:09"	"176"
"35"	"118"	"127"	"10000.00"	"4378"	"2222"	"1"	""	""	"2019-9-4 07:21:35"	"176"
"36"	"118"	"128"	"10.11"	"4381"	"SAD撒旦撒"	"1"	""	""	"2019-9-4 07:38:58"	"176"
"37"	"118"	"130"	"10.00"	"4378"	"11"	"1"	""	""	"2019-9-9 09:00:13"	"176"
"38"	"1"	"134"	"10.00"	"82"	"去哇哇哇"	"1"	""	""	"2019-9-11 08:15:23"	"1"
"39"	"118"	"129"	"100.00"	"4381"	"大萨达"	"1"	""	""	"2019-9-26 06:16:07"	"173"
"40"	"1"	"138"	"1.00"	"82"	"1"	"1"	""	""	"2019-9-26 07:33:32"	"1"
"41"	"118"	"143"	"11.99"	"4378"	"飒飒"	"1"	""	""	"2019-9-27 03:17:20"	"173"
"42"	"118"	"142"	"0.99"	"4378"	"11"	"1"	""	""	"2019-9-27 07:27:48"	"173"
