"3"	"1"	"1"	"1"	""	""	"2019-7-23 13:13:12"	"2019-6-10 06:51:41"
"38"	"43"	"43"	"1"	""	""	"2019-7-25 01:37:44"	"2019-7-25 01:37:44"
"39"	"44"	"42"	"1"	""	""	"2019-7-25 05:56:48"	"2019-7-25 05:56:48"
"40"	"45"	"44"	"1"	""	""	"2019-7-25 10:37:49"	"2019-7-25 10:37:49"
"41"	"46"	"45"	"1"	""	""	"2019-7-26 06:55:10"	"2019-7-26 06:55:10"
"42"	"47"	"46"	"1"	""	""	"2019-7-26 08:48:50"	"2019-7-26 08:48:50"
"43"	"48"	"48"	"1"	""	""	"2019-7-26 09:12:11"	"2019-7-26 09:12:11"
"44"	"49"	"49"	"1"	""	""	"2019-7-29 02:06:44"	"2019-7-29 02:06:44"
"45"	"50"	"50"	"1"	""	""	"2019-7-29 02:36:41"	"2019-7-29 02:36:41"
"46"	"51"	"51"	"1"	""	""	"2019-7-29 03:02:04"	"2019-7-29 03:02:04"
"47"	"51"	"52"	"1"	""	""	"2019-7-29 03:33:27"	"2019-7-29 03:33:27"
"48"	"53"	"53"	"1"	""	""	"2019-7-29 04:01:46"	"2019-7-29 04:01:46"
"50"	"54"	"55"	"1"	""	""	"2019-7-29 04:11:13"	"2019-7-29 04:11:13"
"51"	"54"	"56"	"1"	""	""	"2019-7-29 04:11:13"	"2019-7-29 04:11:13"
"52"	"55"	"47"	"1"	""	""	"2019-7-29 06:33:24"	"2019-7-29 06:33:24"
"53"	"56"	"60"	"1"	""	""	"2019-7-29 09:23:19"	"2019-7-29 09:23:19"
"64"	"67"	"62"	"1"	""	""	"2019-7-30 08:16:48"	"2019-7-30 08:16:48"
"65"	"68"	"61"	"1"	""	""	"2019-7-30 08:41:21"	"2019-7-30 08:41:21"
"66"	"70"	"65"	"1"	""	""	"2019-7-30 11:03:01"	"2019-7-30 11:03:01"
"67"	"70"	"67"	"1"	""	""	"2019-7-30 12:30:25"	"2019-7-30 12:30:25"
"68"	"70"	"68"	"1"	""	""	"2019-7-30 12:32:45"	"2019-7-30 12:32:45"
"70"	"73"	"73"	"1"	""	""	"2019-7-31 06:16:06"	"2019-7-31 06:16:06"
"71"	"73"	"74"	"1"	""	""	"2019-7-31 06:16:06"	"2019-7-31 06:16:06"
"72"	"74"	"75"	"1"	""	""	"2019-7-31 06:17:02"	"2019-7-31 06:17:02"
"73"	"74"	"76"	"1"	""	""	"2019-7-31 06:28:22"	"2019-7-31 06:28:22"
"74"	"43"	"77"	"1"	""	""	"2019-7-31 06:30:46"	"2019-7-31 06:30:46"
"78"	"71"	"78"	"1"	""	""	"2019-7-31 12:12:37"	"2019-7-31 12:12:37"
"79"	"71"	"79"	"1"	""	""	"2019-7-31 12:12:54"	"2019-7-31 12:12:54"
"80"	"76"	"71"	"1"	""	""	"2019-7-31 13:47:58"	"2019-7-31 13:47:58"
"81"	"77"	"80"	"1"	""	""	"2019-7-31 13:54:08"	"2019-7-31 13:54:08"
"82"	"78"	"86"	"1"	""	""	"2019-8-1 07:55:55"	"2019-8-1 07:55:55"
"83"	"79"	"85"	"1"	""	""	"2019-8-1 08:27:14"	"2019-8-1 08:27:14"
"84"	"79"	"87"	"1"	""	""	"2019-8-1 08:45:34"	"2019-8-1 08:45:34"
"86"	"79"	"88"	"1"	""	""	"2019-8-1 08:45:48"	"2019-8-1 08:45:48"
"87"	"80"	"84"	"1"	""	""	"2019-8-1 10:19:39"	"2019-8-1 10:19:39"
"88"	"81"	"91"	"1"	""	""	"2019-8-1 11:14:41"	"2019-8-1 11:14:41"
"90"	"82"	"93"	"1"	""	""	"2019-8-1 11:27:00"	"2019-8-1 11:27:00"
"91"	"83"	"94"	"1"	""	""	"2019-8-1 11:27:39"	"2019-8-1 11:27:39"
"92"	"81"	"95"	"1"	""	""	"2019-8-1 11:39:06"	"2019-8-1 11:39:06"
"93"	"81"	"92"	"1"	""	""	"2019-8-1 11:39:20"	"2019-8-1 11:39:20"
"94"	"81"	"96"	"1"	""	""	"2019-8-1 11:43:49"	"2019-8-1 11:43:49"
"95"	"82"	"97"	"1"	""	""	"2019-8-1 11:47:02"	"2019-8-1 11:47:02"
"96"	"81"	"98"	"1"	""	""	"2019-8-1 11:47:08"	"2019-8-1 11:47:08"
"97"	"81"	"99"	"1"	""	""	"2019-8-1 11:50:00"	"2019-8-1 11:50:00"
"98"	"84"	"90"	"1"	""	""	"2019-8-2 01:50:06"	"2019-8-2 01:50:06"
