"2"	"1"	"11"	"12"	"14"	"16"	""	"20"	"22"	"24"	"个人/配偶人行征信不良记录说明
1111"	"26"	"个人/配偶涉案、涉诉说明
2222"	"28"	"在集团欠款情况说明
3333"	"用信计划
4444"	""	""	""	""	""	""	""	"2019-7-24 15:37:09"	"1"	"2019-7-24 15:36:45"	"1"
"3"	"69"	"14"	"116"	"118"	"120"	""	"124"	"126"	"128"	"伟大哇D去啊"	"130"	"啊实打实"	"132"	"打完等我"	"撒大声地"	""	""	""	""	""	""	""	"2019-7-29 15:10:09"	"52"	"2019-7-29 15:10:00"	"52"
"4"	"1"	"13"	"11"	"13"	"15"	"17"	"19"	"21"	"24"	""	"26"	""	"28"	""	"123"	"72"	"73"	""	""	""	""	""	"2019-7-31 12:40:42"	"1"	"2019-7-29 15:15:59"	"1"
"5"	"69"	"15"	"116"	"118"	"120"	""	"124"	"126"	"128"	""	"130"	""	"132"	""	"萨达"	"147"	"148"	""	""	""	""	""	"2019-7-29 07:54:13"	"53"	"2019-7-29 15:26:19"	"53"
"6"	"69"	"16"	"116"	"118"	"120"	""	"124"	"126"	"128"	"哇"	"130"	"阿达"	"132"	"ADAS 阿达飒飒的"	"Asas saa 萨达"	"147"	"148"	""	""	""	""	""	"2019-7-29 08:13:09"	"53"	"2019-7-29 16:09:44"	"53"
"7"	"66"	"17"	"351"	"353"	"355"	"357"	"359"	"361"	"364"	"11"	"366"	"11"	"368"	"12"	"233"	"383"	"384"	""	""	""	""	""	"2019-7-30 08:15:58"	"48"	"2019-7-30 11:55:11"	"48"
"8"	"65"	"18"	"257"	"259"	"261"	"263"	"265"	"267"	"270"	""	"272"	""	"274"	""	"300万均用于开具商业承兑汇票"	""	""	""	""	""	""	""	"2019-7-30 13:52:42"	"46"	"2019-7-30 13:51:58"	"46"
"9"	"65"	"20"	"257"	"259"	"261"	"263"	"265"	"267"	"270"	""	"272"	""	"274"	""	"300万用于开商票
100万用于借款
100万用于担保"	""	""	""	""	""	""	""	"2019-7-30 15:37:51"	"46"	"2019-7-30 15:37:17"	"46"
"10"	"65"	"21"	"257"	"259"	"261"	"263"	"265"	"267"	"270"	""	"272"	""	"274"	""	"200万开商票
150万借款
50万担保"	""	""	""	""	""	""	""	"2019-7-30 15:51:19"	"46"	"2019-7-30 15:49:42"	"46"
"11"	"83"	"22"	""	""	""	""	""	""	""	""	""	""	"588"	""	""	""	""	""	""	""	""	""	""	""	"2019-7-30 17:36:48"	"61"
"12"	"65"	"23"	"257"	"259"	"261"	"263"	"265"	"267"	"270"	""	"272"	""	"274"	""	"全部用于开具商业承兑汇票支付材料款"	""	""	""	""	""	""	""	"2019-7-31 10:42:24"	"46"	"2019-7-31 10:41:58"	"46"
"13"	"65"	"25"	"953"	"955"	"957"	"959"	"961"	"963"	"966"	""	"968"	""	"970"	""	"全部用于开具和桑叶承兑汇票用于支付材料款"	""	""	""	""	""	""	""	"2019-7-31 11:08:09"	"46"	"2019-7-31 11:07:38"	"46"
"14"	"65"	"27"	"953"	"955"	"957"	"959"	"961"	"963"	"966"	""	"968"	""	"970"	""	"开商业承兑汇票"	"985"	""	""	""	""	""	""	"2019-7-31 10:10:37"	"46"	"2019-7-31 14:56:50"	"46"
"15"	"84"	"26"	"699"	"701"	"703"	"705"	"707"	"709"	"712"	""	"713"	""	"715"	""	"用信计划说明"	""	""	""	""	""	""	""	"2019-7-31 16:12:23"	"66"	"2019-7-31 15:59:07"	"66"
"16"	"65"	"28"	"953"	"955"	"958"	"959"	"961"	"963"	"966"	""	"968"	""	"970"	""	"开商票"	""	""	""	""	""	""	""	"2019-7-31 16:00:28"	"46"	"2019-7-31 16:00:00"	"46"
"17"	"85"	"29"	"827"	"829"	"831"	""	"835"	"837"	"839"	"个人/配偶人行征信不良记录说明"	"841"	"个人/配偶涉案、涉诉说明"	"843"	"在集团欠款情况说明
"	"用信计划
"	"858"	""	""	""	""	""	""	"2019-8-23 01:34:59"	"69"	"2019-7-31 17:49:13"	"69"
"18"	"84"	"30"	"700"	"702"	"704"	""	"708"	"710"	"712"	""	"714"	""	"716"	""	"固定方法个"	""	""	""	""	""	""	""	"2019-7-31 19:40:45"	"65"	"2019-7-31 19:40:35"	"65"
"19"	"61"	"31"	"1080"	"1082"	"1084"	"1086"	"1088"	"1090"	"1092"	""	"1094"	""	"1096"	""	"讽德诵功"	"1112"	"1113"	""	""	""	""	""	"2019-7-31 11:55:12"	"43"	"2019-7-31 19:49:46"	"43"
"20"	"61"	"33"	"1080"	"1082"	"1084"	"1086"	"1088"	"1090"	"1092"	"股份的华国锋"	"1094"	"姑父逗号分割"	"1096"	"法国队和"	"股份的华国锋"	"1112"	"1113"	""	""	""	""	""	"2019-7-31 12:28:36"	"43"	"2019-7-31 20:24:56"	"43"
"21"	"85"	"32"	"827"	"829"	"831"	""	"835"	"837"	"839"	"个人/配偶人行征信不良记录说明"	"841"	"个人/配偶涉案、涉诉说明
"	"843"	"在集团欠款情况说明
"	"用信计划
"	"858"	""	""	""	""	""	""	"2019-7-31 12:47:52"	"69"	"2019-7-31 20:26:09"	"79"
"22"	"85"	"34"	"827"	"829"	"831"	""	"835"	"837"	"839"	"1"	"841"	"1"	"843"	"1"	"1"	"858"	""	""	""	""	""	""	"2019-9-3 08:55:35"	"69"	"2019-7-31 21:32:08"	"79"
"23"	"1"	"19"	"11"	"13"	"15"	"17"	"19"	"21"	"23"	"第三方"	"25"	"的说法"	"27"	"第三方"	"第三方"	""	""	""	""	""	""	""	"2019-8-1 15:24:17"	"1"	"2019-8-1 15:24:05"	"1"
