"1"	"1"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-6-18 19:29:24"	"2019-6-12 08:23:40"	""
"2"	"1"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-6-26 19:08:01"	"2019-6-26 19:08:01"	""
"3"	"69"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-29 07:05:35"	"2019-7-29 07:05:35"	"1"
"4"	"69"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-29 07:05:35"	"2019-7-29 07:05:35"	"2"
"8"	"66"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-30 03:43:41"	"2019-7-30 03:43:41"	"1"
"9"	"66"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-30 03:43:41"	"2019-7-30 03:43:41"	"2"
"10"	"82"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-30 08:16:50"	"2019-7-30 08:16:50"	"1"
"11"	"82"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-30 08:16:50"	"2019-7-30 08:16:50"	"2"
"13"	"83"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-30 08:41:23"	"2019-7-30 08:41:23"	"1"
"14"	"83"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-30 08:41:23"	"2019-7-30 08:41:23"	"2"
"16"	"84"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-30 11:03:04"	"2019-7-30 11:03:04"	"1"
"17"	"84"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-30 11:03:04"	"2019-7-30 11:03:04"	"2"
"19"	"85"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-31 02:11:04"	"2019-7-31 02:11:04"	"1"
"20"	"85"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-31 02:11:04"	"2019-7-31 02:11:04"	"2"
"22"	"65"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-31 02:47:28"	"2019-7-31 02:47:28"	"1"
"23"	"65"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-31 02:47:28"	"2019-7-31 02:47:28"	"2"
"25"	"61"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-31 11:36:09"	"2019-7-31 11:36:09"	"1"
"26"	"61"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-31 11:36:09"	"2019-7-31 11:36:09"	"2"
"28"	"86"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-31 13:48:03"	"2019-7-31 13:48:03"	"1"
"29"	"86"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-31 13:48:03"	"2019-7-31 13:48:03"	"2"
"31"	"87"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-7-31 13:54:11"	"2019-7-31 13:54:11"	"1"
"32"	"87"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-7-31 13:54:11"	"2019-7-31 13:54:11"	"2"
"34"	"89"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-1 08:27:16"	"2019-8-1 08:27:16"	"1"
"35"	"89"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-1 08:27:16"	"2019-8-1 08:27:16"	"2"
"37"	"90"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-1 10:19:42"	"2019-8-1 10:19:42"	"1"
"38"	"90"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-1 10:19:42"	"2019-8-1 10:19:42"	"2"
"40"	"91"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-1 11:14:43"	"2019-8-1 11:14:43"	"1"
"41"	"91"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-1 11:14:43"	"2019-8-1 11:14:43"	"2"
"43"	"92"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-2 01:50:08"	"2019-8-2 01:50:08"	"1"
"44"	"92"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-2 01:50:08"	"2019-8-2 01:50:08"	"2"
"46"	"96"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-2 05:51:10"	"2019-8-2 05:51:10"	"1"
"47"	"97"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-2 07:04:25"	"2019-8-2 07:04:25"	"1"
"48"	"97"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-2 07:04:25"	"2019-8-2 07:04:25"	"2"
"50"	"98"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-2 10:02:56"	"2019-8-2 10:02:56"	"1"
"51"	"98"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-2 10:02:56"	"2019-8-2 10:02:56"	"2"
"53"	"99"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-6 03:41:47"	"2019-8-6 03:41:47"	"1"
"54"	"99"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-6 03:41:47"	"2019-8-6 03:41:47"	"2"
"56"	"101"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-6 05:58:04"	"2019-8-6 05:58:04"	"1"
"57"	"101"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-6 05:58:04"	"2019-8-6 05:58:04"	"2"
"59"	"102"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-6 06:01:27"	"2019-8-6 06:01:27"	"1"
"60"	"102"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-6 06:01:27"	"2019-8-6 06:01:27"	"2"
"62"	"103"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-6 06:03:30"	"2019-8-6 06:03:30"	"1"
"63"	"103"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-6 06:03:30"	"2019-8-6 06:03:30"	"2"
"65"	"104"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-6 06:06:03"	"2019-8-6 06:06:03"	"1"
"66"	"104"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-6 06:06:03"	"2019-8-6 06:06:03"	"2"
"68"	"106"	"申请授信"	""	"1"	"1"	"1"	"1"	"2019-8-6 08:21:09"	"2019-8-6 08:21:09"	"1"
"69"	"106"	"申请开商票"	""	"1"	"1"	"1"	"1"	"2019-8-6 08:21:09"	"2019-8-6 08:21:09"	"2"
