"1"	"1"	"1"	"2019-7-23 13:43:01"	"2019-7-23 13:42:59"
"2"	"1"	"2"	"2019-7-23 13:43:09"	"2019-7-23 13:43:10"
"3"	"1"	"3"	"2019-7-24 19:50:15"	"2019-7-24 19:50:15"
"4"	"1"	"4"	"2019-7-31 10:54:01"	"2019-7-31 10:53:44"
"8"	"63"	"1"	"2019-7-25 18:37:50"	"2019-7-25 18:37:50"
"9"	"63"	"2"	"2019-7-25 18:37:50"	"2019-7-25 18:37:50"
"10"	"64"	"1"	"2019-7-26 14:55:10"	"2019-7-26 14:55:10"
"11"	"64"	"2"	"2019-7-26 14:55:10"	"2019-7-26 14:55:10"
"16"	"67"	"1"	"2019-7-29 10:06:44"	"2019-7-29 10:06:44"
"17"	"68"	"2"	"2019-7-29 10:36:42"	"2019-7-29 10:36:42"
"18"	"69"	"1"	"2019-7-29 11:02:05"	"2019-7-29 11:02:05"
"19"	"70"	"1"	"2019-7-29 14:33:25"	"2019-7-29 14:33:25"
"20"	"70"	"2"	"2019-7-29 14:33:25"	"2019-7-29 14:33:25"
"21"	"71"	"2"	"2019-7-29 17:23:20"	"2019-7-29 17:23:20"
"22"	"61"	"1"	"2019-7-30 10:03:12"	"2019-7-30 10:03:12"
"23"	"61"	"2"	"2019-7-30 10:03:12"	"2019-7-30 10:03:12"
"24"	"61"	"3"	"2019-7-30 10:03:12"	"2019-7-30 10:03:12"
"25"	"62"	"1"	"2019-7-30 10:05:20"	"2019-7-30 10:05:20"
"26"	"62"	"2"	"2019-7-30 10:05:20"	"2019-7-30 10:05:20"
"27"	"62"	"3"	"2019-7-30 10:05:20"	"2019-7-30 10:05:20"
"28"	"65"	"1"	"2019-7-30 11:09:00"	"2019-7-30 11:09:00"
"29"	"65"	"2"	"2019-7-30 11:09:00"	"2019-7-30 11:09:00"
"30"	"65"	"3"	"2019-7-30 11:09:00"	"2019-7-30 11:09:00"
"31"	"66"	"1"	"2019-7-30 11:34:09"	"2019-7-30 11:34:09"
"32"	"66"	"2"	"2019-7-30 11:34:09"	"2019-7-30 11:34:09"
"33"	"66"	"3"	"2019-7-30 11:34:09"	"2019-7-30 11:34:09"
"64"	"82"	"1"	"2019-7-30 16:16:49"	"2019-7-30 16:16:49"
"65"	"82"	"2"	"2019-7-30 16:16:49"	"2019-7-30 16:16:49"
"66"	"82"	"3"	"2019-7-30 16:16:49"	"2019-7-30 16:16:49"
"67"	"83"	"1"	"2019-7-30 16:41:21"	"2019-7-30 16:41:21"
"68"	"83"	"2"	"2019-7-30 16:41:21"	"2019-7-30 16:41:21"
"69"	"83"	"3"	"2019-7-30 16:41:21"	"2019-7-30 16:41:21"
"70"	"84"	"1"	"2019-7-30 19:03:01"	"2019-7-30 19:03:01"
"71"	"84"	"2"	"2019-7-30 19:03:01"	"2019-7-30 19:03:01"
"72"	"84"	"3"	"2019-7-30 19:03:01"	"2019-7-30 19:03:01"
"73"	"85"	"1"	"2019-7-31 10:11:02"	"2019-7-31 10:11:02"
"74"	"85"	"2"	"2019-7-31 10:11:02"	"2019-7-31 10:11:02"
"75"	"85"	"3"	"2019-7-31 10:11:02"	"2019-7-31 10:11:02"
"76"	"86"	"1"	"2019-7-31 21:47:58"	"2019-7-31 21:47:58"
"77"	"86"	"2"	"2019-7-31 21:47:58"	"2019-7-31 21:47:58"
"78"	"86"	"3"	"2019-7-31 21:47:58"	"2019-7-31 21:47:58"
"79"	"87"	"1"	"2019-7-31 21:54:09"	"2019-7-31 21:54:09"
"80"	"87"	"2"	"2019-7-31 21:54:09"	"2019-7-31 21:54:09"
"81"	"87"	"3"	"2019-7-31 21:54:09"	"2019-7-31 21:54:09"
"82"	"88"	"2"	"2019-8-1 15:55:55"	"2019-8-1 15:55:55"
"83"	"88"	"3"	"2019-8-1 15:55:55"	"2019-8-1 15:55:55"
"84"	"89"	"1"	"2019-8-1 16:27:15"	"2019-8-1 16:27:15"
"85"	"89"	"3"	"2019-8-1 16:27:15"	"2019-8-1 16:27:15"
"86"	"90"	"1"	"2019-8-1 18:19:40"	"2019-8-1 18:19:40"
"87"	"90"	"2"	"2019-8-1 18:19:40"	"2019-8-1 18:19:40"
