"1"	"1"	"公司管理员"	""	"1"	"0"	"0"	"1"	"1"	"2019-6-11 19:15:33"	"2019-5-21 06:38:49"
"2"	"1"	"公司普通员工"	""	"1"	"1"	"0"	"1"	"1"	"2019-6-11 19:15:34"	"2019-5-24 02:30:11"
"87"	"61"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"88"	"61"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"89"	"62"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"90"	"62"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"91"	"63"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"92"	"63"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"93"	"64"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"94"	"64"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"95"	"65"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"96"	"65"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"97"	"66"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"98"	"66"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"99"	"67"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"100"	"67"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"101"	"68"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"102"	"68"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"103"	"69"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"104"	"69"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"105"	"70"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"106"	"70"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"107"	"1"	"商务经理组"	""	"1"	"1"	"1"	""	""	"2019-7-29 15:48:27"	"2019-7-29 15:48:27"
"108"	"71"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"109"	"71"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"130"	"82"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"131"	"82"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"132"	"83"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"133"	"83"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"134"	"84"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"135"	"84"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"136"	"84"	"商务经理组"	""	"1"	"1"	"1"	""	""	"2019-7-30 20:25:04"	"2019-7-30 20:25:04"
"137"	"85"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"138"	"85"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"139"	"84"	"客户经理组"	""	"1"	"1"	"1"	""	""	"2019-7-31 16:24:51"	"2019-7-31 16:24:51"
"140"	"84"	"风控经理组"	""	"1"	"1"	"1"	""	""	"2019-7-31 20:01:25"	"2019-7-31 20:01:25"
"141"	"86"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"142"	"86"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"143"	"87"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"144"	"87"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"145"	"88"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
"146"	"88"	"公司普通员工"	""	"1"	"1"	"0"	""	""	""	""
"147"	"89"	"公司管理员"	""	"1"	"0"	"0"	""	""	""	""
